trial_id,pumps,state_description,llm_decision,llm_reasoning,human_typical_decision,human_decision_probability,decision_match,risk_level
1,3,"气球任务状态：
- 当前已打气 3 次
- 已获得奖励：$0.15
- 风险水平：低
- 继续打气可获得更多奖励，但气球可能爆炸导致本轮奖励清零
- 选择收集可保留当前奖励",COLLECT,无法解析推理过程,PUMP,0.9,False,低风险
2,7,"气球任务状态：
- 当前已打气 7 次
- 已获得奖励：$0.35
- 风险水平：低
- 继续打气可获得更多奖励，但气球可能爆炸导致本轮奖励清零
- 选择收集可保留当前奖励",COLLECT,无法解析推理过程,PUMP,0.6000000000000001,False,低风险
3,12,"气球任务状态：
- 当前已打气 12 次
- 已获得奖励：$0.60
- 风险水平：中
- 继续打气可获得更多奖励，但气球可能爆炸导致本轮奖励清零
- 选择收集可保留当前奖励",COLLECT,无法解析推理过程,COLLECT,0.19999999999999998,True,中风险
4,17,"气球任务状态：
- 当前已打气 17 次
- 已获得奖励：$0.85
- 风险水平：高
- 继续打气可获得更多奖励，但气球可能爆炸导致本轮奖励清零
- 选择收集可保留当前奖励",COLLECT,无法解析推理过程,COLLECT,0.030000000000000002,True,高风险
5,22,"气球任务状态：
- 当前已打气 22 次
- 已获得奖励：$1.10
- 风险水平：高
- 继续打气可获得更多奖励，但气球可能爆炸导致本轮奖励清零
- 选择收集可保留当前奖励",COLLECT,无法解析推理过程,COLLECT,0.01,True,高风险
6,27,"气球任务状态：
- 当前已打气 27 次
- 已获得奖励：$1.35
- 风险水平：高
- 继续打气可获得更多奖励，但气球可能爆炸导致本轮奖励清零
- 选择收集可保留当前奖励",COLLECT,无法解析推理过程,COLLECT,0.01,True,高风险
7,3,"气球任务状态：
- 当前已打气 3 次
- 已获得奖励：$0.15
- 风险水平：低
- 继续打气可获得更多奖励，但气球可能爆炸导致本轮奖励清零
- 选择收集可保留当前奖励",COLLECT,无法解析推理过程,PUMP,0.9,False,低风险
8,7,"气球任务状态：
- 当前已打气 7 次
- 已获得奖励：$0.35
- 风险水平：低
- 继续打气可获得更多奖励，但气球可能爆炸导致本轮奖励清零
- 选择收集可保留当前奖励",COLLECT,无法解析推理过程,PUMP,0.6000000000000001,False,低风险
9,12,"气球任务状态：
- 当前已打气 12 次
- 已获得奖励：$0.60
- 风险水平：中
- 继续打气可获得更多奖励，但气球可能爆炸导致本轮奖励清零
- 选择收集可保留当前奖励",COLLECT,无法解析推理过程,COLLECT,0.19999999999999998,True,中风险
10,17,"气球任务状态：
- 当前已打气 17 次
- 已获得奖励：$0.85
- 风险水平：高
- 继续打气可获得更多奖励，但气球可能爆炸导致本轮奖励清零
- 选择收集可保留当前奖励",COLLECT,无法解析推理过程,COLLECT,0.030000000000000002,True,高风险
11,22,"气球任务状态：
- 当前已打气 22 次
- 已获得奖励：$1.10
- 风险水平：高
- 继续打气可获得更多奖励，但气球可能爆炸导致本轮奖励清零
- 选择收集可保留当前奖励",COLLECT,无法解析推理过程,COLLECT,0.01,True,高风险
12,27,"气球任务状态：
- 当前已打气 27 次
- 已获得奖励：$1.35
- 风险水平：高
- 继续打气可获得更多奖励，但气球可能爆炸导致本轮奖励清零
- 选择收集可保留当前奖励",COLLECT,无法解析推理过程,COLLECT,0.01,True,高风险
